#,,,,Start,,,Highest Point,,,End,,,,,,
#,Date,Satellite,Brightness (mag),Time,Altitude,Azimuth,Time,Altitude,Azimuth,Time,Altitude,Azimuth,,,,
,13-Oct,STARLINK-3874,5.9,19:06:54,10°,S,19:09:06,14°,SSE,19:11:19,10°,ESE,,,,
,13-Oct,STARLINK-3236,?,19:07:12,10°,W,19:09:52,16°,WNW,19:12:31,10°,NNW,,,,
,13-Oct,STARLINK-4011,4.7,19:07:19,10°,N,19:10:42,25°,NE,19:14:06,10°,ESE,,,,
,13-Oct,STARLINK-2743,3.8,19:07:25,10°,NNW,19:11:41,70°,NE,19:16:19,10°,SE,,,,
,13-Oct,STARLINK-2127,6.1,19:07:27,10°,SSE,19:08:41,11°,SSE,19:09:56,10°,SE,,,,
,13-Oct,STARLINK-4176,5.9,19:07:34,10°,S,19:09:10,12°,SSE,19:10:46,10°,SE,,,,
,13-Oct,STARLINK-2104,5.5,19:07:36,10°,NNE,19:09:38,13°,ENE,19:11:43,10°,E,,,,
,13-Oct,STARLINK-3282,?,19:07:37,10°,WSW,19:09:49,14°,SSW,19:12:02,10°,S,,,,
,13-Oct,STARLINK-2160,6,19:07:44,10°,S,19:10:05,14°,SSE,19:12:26,10°,ESE,,,,
,13-Oct,STARLINK-3301,?,19:07:44,10°,WSW,19:09:32,12°,SSW,19:11:19,10°,S,,,,
,13-Oct,STARLINK-2430,6,19:07:45,10°,SSE,19:08:24,10°,SSE,19:09:03,10°,SE,,,,
,13-Oct,STARLINK-4299,5.3,19:07:47,10°,S,19:10:48,19°,SE,19:13:48,10°,E,,,,
,13-Oct,STARLINK-1184,6.5,19:07:52,10°,WSW,19:09:57,13°,SSW,19:12:02,10°,S,,,,
,13-Oct,STARLINK-4670,5.5,19:07:52,10°,WNW,19:11:35,32°,SW,19:15:19,10°,SSE,,,,
,13-Oct,STARLINK-1466,5.2,19:07:53,10°,SSW,19:12:28,31°,SE,19:17:01,10°,ENE,,,,
,13-Oct,STARLINK-1357,6.1,19:08:08,10°,SSW,19:15:11,43°,SE,19:24:16,11°,ENE,,,,
,13-Oct,STARLINK-1450,7.2,19:08:12,10°,SSW,19:08:47,10°,SSW,19:09:23,10°,SSW,,,,
,13-Oct,STARLINK-3627,6.8,19:08:16,10°,WSW,19:10:36,13°,SSW,19:12:59,10°,S,,,,
,13-Oct,STARLINK-4314,7,19:08:16,10°,NW,19:10:17,14°,W,19:12:19,10°,WSW,,,,
,13-Oct,STARLINK-1266,3.6,19:08:33,10°,SW,19:12:43,77°,SE,19:16:52,10°,NE,,,,
,13-Oct,STARLINK-3173,?,19:08:36,10°,NE,19:09:32,11°,ENE,19:10:28,10°,ENE,,,,
,13-Oct,STARLINK-1239,4.5,19:08:55,10°,NW,19:13:46,69°,SW,19:18:51,10°,SE,,,,
,13-Oct,STARLINK-4682,5.5,19:09:14,10°,S,19:11:08,13°,SE,19:13:01,10°,ESE,,,,
,13-Oct,STARLINK-3577,?,19:09:15,10°,SW,19:10:24,11°,SSW,19:11:34,10°,SSW,,,,
,13-Oct,STARLINK-2726,5.6,19:09:20,10°,NE,19:09:49,10°,ENE,19:10:18,10°,ENE,,,,
,13-Oct,STARLINK-3238,?,19:09:20,10°,SW,19:13:30,85°,SE,19:17:38,10°,NE,,,,
,13-Oct,STARLINK-4469,9.9,19:09:34,10°,NNW,19:40:23,39°,W,20:33:14,10°,SSW,,,,
,13-Oct,STARLINK-3333,4.8,19:09:51,10°,SSW,19:13:28,28°,SE,19:17:05,10°,ENE,,,,
,13-Oct,STARLINK-3449,?,19:10:06,10°,N,19:13:50,34°,NE,19:17:40,10°,ESE,,,,
,13-Oct,STARLINK-2197,4.8,19:10:16,10°,WSW,19:13:43,37°,NW,19:17:15,10°,NNE,,,,
,13-Oct,STARLINK-3195,?,19:10:18,10°,N,19:14:31,31°,NE,19:18:26,10°,ESE,,,,
,13-Oct,STARLINK-4401,?,19:10:35,10°,N,19:42:12,80°,WNW,20:26:56,10°,S,,,,
,13-Oct,STARLINK-1720,3.4,19:10:42,10°,SW,19:14:18,71°,NW,19:17:39,10°,NE,,,,
,13-Oct,STARLINK-2158,5.2,19:10:50,10°,SW,19:15:30,44°,NW,19:20:17,10°,NNE,,,,
,13-Oct,STARLINK-4711,6.8,19:10:50,10°,SW,19:11:30,10°,SSW,19:12:10,10°,SSW,,,,
,13-Oct,STARLINK-4252,6.6,19:10:56,10°,NNW,19:14:05,21°,W,19:17:17,10°,SW,,,,
,13-Oct,STARLINK-2448,4.7,19:11:03,10°,SSW,19:14:48,30°,SE,19:18:26,10°,ENE,,,,
,13-Oct,STARLINK-4020,6.4,19:11:14,10°,W,19:13:46,16°,WNW,19:16:17,10°,NNW,,,,
,13-Oct,STARLINK-4650,3.4,19:11:24,10°,NNE,19:12:28,16°,ENE,19:14:03,10°,ESE,,,,
,13-Oct,STARLINK-2253,?,19:11:25,10°,WSW,19:15:15,34°,NW,19:19:02,10°,NNE,,,,
,13-Oct,STARLINK-3304,?,19:11:31,10°,SW,19:12:13,10°,SSW,19:12:54,10°,SSW,,,,
,13-Oct,STARLINK-3277,?,19:11:31,10°,WSW,19:13:29,13°,SSW,19:15:28,10°,S,,,,
,13-Oct,STARLINK-3740,4.2,19:11:34,10°,NNW,19:15:30,38°,NE,19:19:19,10°,ESE,,,,
,13-Oct,STARLINK-1782,3.7,19:11:37,10°,SW,19:15:51,83°,NW,19:19:54,10°,NE,,,,
,13-Oct,STARLINK-4087,5.8,19:11:37,10°,S,19:13:23,12°,SSE,19:15:10,10°,ESE,,,,
,13-Oct,STARLINK-4699,5.2,19:11:42,10°,WNW,19:15:29,37°,SW,19:19:17,10°,SSE,,,,
,13-Oct,STARLINK-4726,?,19:11:42,10°,WSW,19:14:25,17°,SW,19:17:09,10°,S,,,,
,13-Oct,STARLINK-4200,?,19:11:53,10°,NW,19:15:55,62°,SW,19:20:05,10°,SE,,,,
,13-Oct,STARLINK-2361,5.6,19:11:59,10°,WSW,19:15:31,26°,NW,19:18:50,10°,N,,,,
,13-Oct,STARLINK-1211,4.6,19:12:02,10°,N,19:15:57,30°,NE,19:19:35,10°,ESE,,,,
